"threshold","specificity","sensitivity"
49.315321,0.998853774357295,0.0824566391811203
51.950225,0.998853774357295,0.0762013079328974
53.0100225,0.998853774357295,0.0742109752630083
54.2279175,0.998853774357295,0.0736423087858971
55.6410135,0.998853774357295,0.0733579755473415
56.551365,0.998935647617488,0.0727893090702303
57.161586,0.998935647617488,0.0725049758316747
58.452477,0.998935647617488,0.0719363093545635
59.6900685,0.999263140658261,0.0557293147568951
60.557763,0.999263140658261,0.0554449815183395
61.595795,0.999345013918454,0.0531703156098948
63.008891,0.999345013918454,0.0508956497014501
64.127366,0.999426887178647,0.0466306511231163
65.533988,0.999426887178647,0.0454933181688939
67.0074405,0.999508760438841,0.0255899914700028
74.4474195,0.999590633699034,0.0247369917543361
82.859304,0.999590633699034,0.0241683252772249
86.1202125,0.999672506959227,0.0116576627807791
